DATASET_EXTERNALSHAPE
#Nodes have multiple values associated with them. Values will be displayed as geometric shapes of different sizes in columns outside the tree.
#Highest value in the dataset will have the largest size, and all others will be scaled down proportionally.
#lines starting with a hash are comments and ignored during parsing

#=================================================================#
#                    MANDATORY SETTINGS                           #
#=================================================================#
#select the separator which is used to delimit the data below (TAB,SPACE or COMMA).This separator must be used throughout this file.
#SEPARATOR TAB
#SEPARATOR SPACE
SEPARATOR COMMA

#label is used in the legend table (can be changed later)
DATASET_LABEL,rel_abund_otu_in_susp

#dataset color (can be changed later)
COLOR,#15728b80

#define colors for each individual field column (use hexadecimal, RGB or RGBA notation; if using RGB/RGBA, COMMA cannot be used as SEPARATOR)
FIELD_COLORS,#99999980,#15728b80,#45877180,#ca845280,#821f4b80
OTU-637,0.75,0,0,0,0
OTU-2672,0.25,0,0,0,0
OTU-613,0.25,0,0,0,0
OTU-195,0.75,0,0,0,0
OTU-281,0.75,0,0,0,0.25
OTU-254,0.5,0,0,0,0
OTU-9815,0,0,0,0,0
OTU-131,0.75,0,0,0,0
OTU-310,1,0,0,0,0
OTU-1097,1,0,0,0,0
OTU-1071,1,0,0,0,0
OTU-42709,1,0,0,0,0
OTU-3827,1,0,0,0,0
OTU-1360,1,0,0,0,0
OTU-413,1,0.25,0,0,0
OTU-1090,0.75,0,0,0,0
OTU-191,1,0,0,0.5,0.75
OTU-149,1,0,0,0,0
OTU-5,1,0,0.25,1,0
OTU-10108,1,0,0,0,0
OTU-70712,1,0,0,0,0
OTU-65,1,0,0,0,0
OTU-976,0.25,0,0,0,0
OTU-139,0.25,0,0,0,0
OTU-580,1,0,0,0.25,0
OTU-1034,1,0,0,0,0
OTU-18608,1,0,0,0,0
OTU-424,1,0,0,0,0
OTU-104,0.75,0,0,0,0
OTU-687,1,0,0,0,0
OTU-1656,0.5,0,0,0,0
OTU-740,1,0,0,0,0
OTU-334,1,0,0,0,0
OTU-86,0.5,0,0,0,0
OTU-190,0,0,0,0,0
OTU-3075,0,0,0,0,0
OTU-227,0,0,0,0,0
OTU-547,0.25,0,0,0,0
OTU-229,1,0,0,0,0
OTU-181,0.25,0,0,0,0
OTU-136,1,0,0,0,0
OTU-19704,0.5,0,0,0,0
OTU-6,1,0,0,0.25,0.25
OTU-14931,0.25,0,0,0,0
OTU-350,1,0,0,0,0
OTU-70124,0.75,0,0,0.25,0
OTU-10407,1,0.25,0.25,0.75,0
OTU-10847,0,0.5,0,0,0.25
OTU-2390,0.5,0.25,0,0.75,0
OTU-148,1,0,0,0,0
OTU-2445,1,0,0,0,0
OTU-5369,1,0,0,0,0
OTU-23,1,0,0,0,0.25
OTU-1551,1,0,0,0,0
OTU-54534,1,0,0,0,0
OTU-569,1,0,0,0,0
OTU-60671,1,0,0,0,0
OTU-19152,1,0,0,0,0
OTU-1313,1,0,0,0,0
OTU-17126,0.5,0,0,0,0
OTU-2461,0.5,0,0,0,0
OTU-16,1,0,0,0,0
OTU-168,1,0,0,0,0
OTU-35999,1,0,0,0,0
OTU-100,0.5,0,0,0,0.25
OTU-373,1,0,0.25,0,0
OTU-15981,1,0,0,0,0
OTU-45,0.75,1,1,0.25,1
OTU-53752,0.25,1,1,0,0
OTU-5733,0.25,1,1,0,0.25
OTU-60945,0.25,0.75,1,0,0
OTU-2864,0.75,0,0.75,0,0
OTU-10822,0.5,0.5,0.25,0,0
OTU-26284,0.25,0,0,0,0
OTU-167,1,0.75,1,0,0
OTU-1673,0.5,0,0,0,0
OTU-757,1,0.5,0.75,0,0
OTU-30,1,0.25,0,0,0
OTU-27,1,0,0,0,0
OTU-261,0,0,0.25,0,0
OTU-67734,0.25,0,0,0,0
OTU-52161,0,0,0,0,0
OTU-5326,0.25,0,0,0,0
OTU-776,0.75,0,0,0,0
OTU-4417,0.25,0,0,0,0
OTU-1408,0.75,0,0,0,0
OTU-412,1,0,0,0,0
OTU-589,0.75,0,0,0,0
OTU-512,0.75,0,0,0.5,0
OTU-47,1,0,0,0,0.25
